Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.02     0.00     2314     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_State_baseV2, std::allocator<std::__future_base::_State_baseV2>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.02     0.00     2314     0.00     0.00  void std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_realloc_insert<char*, char*>(__gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >, char*&&, char*&&)
  0.00      1.02     0.00     2314     0.00     0.00  std::promise<void>::set_value()
  0.00      1.02     0.00     2314     0.00     0.00  std::promise<void>::promise()
  0.00      1.02     0.00     2314     0.00     0.00  std::promise<void>::~promise()
  0.00      1.02     0.00     2313     0.00     0.00  TaskBuilder::getTask(std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >&)
  0.00      1.02     0.00     2313     0.00     0.00  tcp::TcpClient::processTask()
  0.00      1.02     0.00     2313     0.00     0.00  std::__basic_future<void>::_M_get_result() const
  0.00      1.02     0.00     2313     0.00     0.00  std::__future_base::_State_baseV2::_M_complete_async()
  0.00      1.02     0.00     2313     0.00     0.00  std::future<void>::get()
  0.00      1.02     0.00     2312     0.00     0.00  decodeHeader(std::basic_string_view<char, std::char_traits<char> >, bool)
  0.00      1.02     0.00     2312     0.00     0.00  Compression::uncompress(std::basic_string_view<char, std::char_traits<char> >, unsigned long, MemoryPool&)
  0.00      1.02     0.00     2312     0.00     0.00  Compression::uncompressInternal(std::basic_string_view<char, std::char_traits<char> >, char*, unsigned long)
  0.00      1.02     0.00     2312     0.00     0.00  tcp::TcpClient::readReply(unsigned long, unsigned long, bool)
  0.00      1.02     0.00     2312     0.00     0.00  Client::printReply(ClientOptions const&, std::vector<char, std::allocator<char> > const&, unsigned long, unsigned long, bool)
